threshold,close_kernel,min_size,f1,precision,recall,iou
0.3,0,0,0.0,0.0,0.0,0.0
0.3,0,10,0.0,0.0,0.0,0.0
0.3,0,20,0.0,0.0,0.0,0.0
0.3,0,50,0.0,0.0,0.0,0.0
0.3,3,0,0.0,0.0,0.0,0.0
0.3,3,10,0.0,0.0,0.0,0.0
0.3,3,20,0.0,0.0,0.0,0.0
0.3,3,50,0.0,0.0,0.0,0.0
0.3,5,0,0.0,0.0,0.0,0.0
0.3,5,10,0.0,0.0,0.0,0.0
0.3,5,20,0.0,0.0,0.0,0.0
0.3,5,50,0.0,0.0,0.0,0.0
0.3,7,0,0.0,0.0,0.0,0.0
0.3,7,10,0.0,0.0,0.0,0.0
0.3,7,20,0.0,0.0,0.0,0.0
0.3,7,50,0.0,0.0,0.0,0.0
0.4,0,0,0.0,0.0,0.0,0.0
0.4,0,10,0.0,0.0,0.0,0.0
0.4,0,20,0.0,0.0,0.0,0.0
0.4,0,50,0.0,0.0,0.0,0.0
0.4,3,0,0.0,0.0,0.0,0.0
0.4,3,10,0.0,0.0,0.0,0.0
0.4,3,20,0.0,0.0,0.0,0.0
0.4,3,50,0.0,0.0,0.0,0.0
0.4,5,0,0.0,0.0,0.0,0.0
0.4,5,10,0.0,0.0,0.0,0.0
0.4,5,20,0.0,0.0,0.0,0.0
0.4,5,50,0.0,0.0,0.0,0.0
0.4,7,0,0.0,0.0,0.0,0.0
0.4,7,10,0.0,0.0,0.0,0.0
0.4,7,20,0.0,0.0,0.0,0.0
0.4,7,50,0.0,0.0,0.0,0.0
0.5,0,0,0.0,0.0,0.0,0.0
0.5,0,10,0.0,0.0,0.0,0.0
0.5,0,20,0.0,0.0,0.0,0.0
0.5,0,50,0.0,0.0,0.0,0.0
0.5,3,0,0.0,0.0,0.0,0.0
0.5,3,10,0.0,0.0,0.0,0.0
0.5,3,20,0.0,0.0,0.0,0.0
0.5,3,50,0.0,0.0,0.0,0.0
0.5,5,0,0.0,0.0,0.0,0.0
0.5,5,10,0.0,0.0,0.0,0.0
0.5,5,20,0.0,0.0,0.0,0.0
0.5,5,50,0.0,0.0,0.0,0.0
0.5,7,0,0.0,0.0,0.0,0.0
0.5,7,10,0.0,0.0,0.0,0.0
0.5,7,20,0.0,0.0,0.0,0.0
0.5,7,50,0.0,0.0,0.0,0.0
0.6,0,0,0.0,0.0,0.0,0.0
0.6,0,10,0.0,0.0,0.0,0.0
0.6,0,20,0.0,0.0,0.0,0.0
0.6,0,50,0.0,0.0,0.0,0.0
0.6,3,0,0.0,0.0,0.0,0.0
0.6,3,10,0.0,0.0,0.0,0.0
0.6,3,20,0.0,0.0,0.0,0.0
0.6,3,50,0.0,0.0,0.0,0.0
0.6,5,0,0.0,0.0,0.0,0.0
0.6,5,10,0.0,0.0,0.0,0.0
0.6,5,20,0.0,0.0,0.0,0.0
0.6,5,50,0.0,0.0,0.0,0.0
0.6,7,0,0.0,0.0,0.0,0.0
0.6,7,10,0.0,0.0,0.0,0.0
0.6,7,20,0.0,0.0,0.0,0.0
0.6,7,50,0.0,0.0,0.0,0.0
0.7,0,0,0.0,0.0,0.0,0.0
0.7,0,10,0.0,0.0,0.0,0.0
0.7,0,20,0.0,0.0,0.0,0.0
0.7,0,50,0.0,0.0,0.0,0.0
0.7,3,0,0.0,0.0,0.0,0.0
0.7,3,10,0.0,0.0,0.0,0.0
0.7,3,20,0.0,0.0,0.0,0.0
0.7,3,50,0.0,0.0,0.0,0.0
0.7,5,0,0.0,0.0,0.0,0.0
0.7,5,10,0.0,0.0,0.0,0.0
0.7,5,20,0.0,0.0,0.0,0.0
0.7,5,50,0.0,0.0,0.0,0.0
0.7,7,0,0.0,0.0,0.0,0.0
0.7,7,10,0.0,0.0,0.0,0.0
0.7,7,20,0.0,0.0,0.0,0.0
0.7,7,50,0.0,0.0,0.0,0.0
